geo_epgs_25831_x,geo_epgs_25831_y
431648.682474958,4581428.17350506
431676.967128582,4581779.65808047
431525.569646474,4581553.18826002
431798.998950121,4581740.87148362
431802.931877559,4581910.22383173
431684.623114205,4581483.9249682
431663.451257397,4581792.35395383
431507.538752352,4581894.1889285
431728.96856287,4582076.25619661
431658.45325251,4582055.61738376
431506.81475929,4581894.68092355
431818.142757522,4581772.90517486
431710.600831262,4581633.59651271
431757.498310101,4581955.18738379
431630.286541826,4581979.25012327
431793.775989448,4581797.34393145
431610.113831165,4581520.53559582
431509.987790352,4581590.57289201
431683.562095358,4581627.54056634
